race_name,weather,no,load_weight,long,condition,time
有馬記念(G1),晴,3,58,芝2500,良,2:31.2
ジャパンC(G1),曇,5,58,芝2400,良,2:23.1
産経賞オールカマー(G2),晴,2,58,芝2200,良,2:12.2
天皇賞(春)(G1),曇,中,58,芝3200,稍, 
日経賞(G2),曇,1,59,芝2500,不,2:36.8
有馬記念(G1),晴,9,57,芝2500,良,2:34.1
凱旋門賞(G1), ,11,59.5,芝2400,重, 
宝塚記念(G1),晴,1,58,芝2200,良,2:09.7
天皇賞(春)(G1),晴,1,58,芝3200,稍,3:16.2
日経賞(G2),曇,1,57,芝2500,稍,2:35.4
有馬記念(G1),晴,5,55,芝2500,良,2:32.5
菊花賞(G1),曇,1,57,芝3000,良,3:04.6
朝日セントライト記念(G2),晴,13,56,芝2200,良,2:13.6
東京優駿(G1),晴,6,57,芝2400,良,2:23.1
皐月賞(G1),晴,2,57,芝2000,稍,2:01.1
報知弥生ディープ記念(G2),曇,1,56,芝2000,良,2:02.0
ホープフルS(G1),晴,4,55,芝2000,良,2:03.3
東京スポーツ杯2歳S(G3),曇,2,55,芝1800,良,1:47.7
2歳新馬,曇,1,55,芝1800,良,1:51.4
